1841	341	703	2982	565	3088	1729	1036	40	307	2273	242	1358	935	102	1225	3160	950	3250	2473	754	627	2145	234	3294	2158	417	2285	2973	359	3005	0
1135	1637	3326	1041	1082	1147	2062	221	3111	2821	3168	2343	2253	730	3023	814	2752	479	597	2002	1550	1448	2458	1055	105	1222	557	1695	1068	1206	1100	0
2969	566	9	1151	1094	1572	472	2291	1521	1524	711	1046	3201	1139	669	1223	1731	552	2905	2738	2008	98	2916	164	260	331	3123	1573	2169	1084	29	0
1962	1243	1449	2216	3026	1942	2754	2661	2095	2347	1285	1956	384	284	1181	2989	2384	2318	1645	1773	375	2462	1239	3101	1912	27	618	249	2993	77	1340	0
2956	2929	259	573	909	3065	637	2004	1066	1690	487	790	1902	2447	3115	1853	989	350	1723	2488	453	2601	3068	3240	1564	3248	2957	141	1008	2410	2684	0
1119	2180	1751	1610	3202	773	1418	3060	1847	2441	1868	688	3283	2646	2165	2052	2766	2279	1096	1088	1970	2636	1256	2316	1966	275	30	2906	2496	1846	2683	0
393	1435	1405	2877	2856	1280	1926	3297	1086	2664	1138	911	138	3223	2349	801	1689	729	19	65	915	1613	2476	3039	271	998	3239	1806	2376	925	1938	0
22	2353	3162	466	414	2818	489	1506	71	2792	123	596	2244	2908	2012	926	2280	854	3272	478	839	31	2559	3245	354	335	2155	1143	3030	554	2421	0
3263	2656	3074	1788	2087	954	2162	2140	1444	97	2960	2744	1752	2128	622	2610	890	767	810	391	1919	3236	2532	3121	2267	671	739	928	897	2640	288	0
2690	1504	2222	1294	3107	460	172	1653	2783	3038	513	2356	2436	274	272	756	659	314	579	3029	901	1672	1514	624	2126	1503	2464	545	1270	2257	2465	0
320	2456	3321	1936	877	1949	1060	3142	1977	3084	2697	3139	2679	837	515	1061	2900	619	7	900	1914	2872	2116	594	2728	2295	2595	1191	1401	3216	714	0
1585	2619	2041	2099	698	863	881	3183	727	503	1447	570	1878	1597	1784	1042	840	3118	3308	1753	1886	1371	1118	2422	3109	3102	1670	1998	2455	1781	1768	0
1903	2205	2359	361	2521	2454	2023	438	532	1087	2317	1887	2748	1867	930	1312	2080	633	3277	2597	1000	1017	232	449	660	72	2550	664	2433	447	1683	0
115	2131	2910	1528	3072	2272	589	609	2427	68	189	868	3000	977	3254	1505	418	2043	1615	2196	1208	616	733	1982	3061	1605	2337	376	2220	2058	1609	0
1870	265	2450	2991	1900	3171	1617	1508	2706	961	468	3259	987	834	1241	2143	718	2681	1813	682	1406	2635	1130	2847	129	1843	80	614	1217	484	2716	0
1048	2717	1628	2175	958	1194	675	2134	2896	1587	2110	210	2444	1114	2935	2136	2412	1944	2270	3274	3323	2082	2164	2294	2942	442	2893	2313	3007	1357	1177	0
2278	1338	2446	133	1104	2481	1304	687	196	2503	328	520	662	3316	3146	1009	2751	58	2609	1132	18	2302	2188	3105	944	1253	3042	3048	1422	2092	3127	0
568	2362	2649	1439	1307	2544	217	750	1595	2478	2873	495	1343	1236	498	2657	154	2680	595	3262	2898	1103	94	555	2179	1993	861	1365	2570	382	768	0
1565	2901	377	1978	2737	117	1647	906	1873	2807	3151	1844	3167	2585	282	2016	1491	2039	1544	2529	518	20	1818	2801	1274	679	2132	51	2277	1580	475	0
1963	1001	775	724	1229	2192	2176	611	1943	2512	534	603	550	60	2483	1663	363	541	2238	1031	1775	3220	3075	1546	2836	2791	365	3176	407	1376	3237	0
3117	1369	1004	49	1458	38	130	1830	3226	2451	2749	542	1996	3149	283	1423	2240	547	786	2870	2810	2425	2383	2020	523	3265	2234	1999	2276	1822	276	0
2487	2551	1852	1231	1708	3215	956	1678	309	1789	3161	708	670	981	2286	2389	1108	1513	44	1377	2995	932	2838	2307	978	192	142	2255	246	1192	1159	0
2526	1244	1891	1780	1534	1620	782	1624	3143	1735	2913	1205	1342	1478	3129	1794	1951	576	3197	1983	2819	533	845	1908	395	951	2888	194	2591	2159	175	0
548	544	1512	1318	628	1158	983	1802	15	3028	1248	923	3006	2224	1090	2540	1185	1601	2051	3008	1530	2588	2885	934	344	3306	2237	2747	1026	1383	2804	0
1674	1030	2122	2471	1238	3184	1800	499	2415	903	1188	2127	969	1861	2382	2802	3103	1428	640	963	3313	543	1754	569	2120	2955	3276	2839	2065	2509	2029	0
3194	239	2084	1680	2944	3287	177	443	2742	2236	1515	277	2875	11	667	1581	233	207	1409	1909	753	869	1396	1726	1762	1122	1454	1006	463	1140	427	0
405	1860	2624	1618	1266	3225	1865	2000	2034	464	2113	1320	144	1771	1328	1537	894	2708	477	1081	1389	722	1713	1579	1372	876	1064	311	1305	445	2167	0
1954	3179	2115	836	757	3230	1063	2416	1232	1937	635	2793	3210	1345	752	1111	647	3218	230	933	2491	3056	2815	1921	1178	1218	1525	136	378	1736	157	0
1668	450	957	1436	2033	297	1364	2812	2962	2260	2365	258	357	160	1228	3325	968	2103	411	530	1571	2653	1542	3013	3234	3016	2083	1922	936	1450	1974	0
1654	2541	943	1495	559	1211	3219	1551	835	999	1259	2555	884	2457	2974	2685	2714	2354	2096	2105	3256	2028	1916	2388	1350	939	2463	3174	521	420	1559	0
3303	2963	2018	2173	116	1889	330	36	1275	1047	2881	1888	2506	2616	2767	2844	855	2925	1227	2676	219	266	2208	1633	2608	1374	392	465	656	1040	1981	0
2472	996	604	308	2031	991	3195	2467	2206	188	1110	1029	2469	1722	2730	1811	764	1536	1136	1959	1969	2878	2614	1759	434	1500	2153	1627	2417	990	2686	0
