0	31	0
0	0	0
0	18	14
1	1	1
0	5	28
5	27	22
1	19	15
6	7	10
4	12	10
2	2	2
5	14	4
6	2	25
1	6	29
0	3	16
3	14	24
6	28	23
4	30	24
5	15	17
2	20	16
6	7	6
2	21	18
0	8	11
6	20	7
4	4	23
5	13	11
3	23	12
4	10	30
3	3	3
3	1	6
2	30	2
6	15	5
6	10	7
4	17	6
0	3	26
5	2	31
1	23	0
2	7	30
3	26	26
6	25	20
1	4	17
2	8	0
5	29	6
4	15	25
5	12	13
3	27	21
0	29	24
1	11	5
5	15	3
5	0	25
2	3	20
0	30	26
6	16	18
4	28	12
0	16	24
3	21	17
4	29	15
3	19	20
0	8	7
2	17	16
5	25	24
3	22	19
3	23	15
3	17	21
1	9	12
1	24	20
2	19	6
0	21	8
0	9	17
2	9	13
5	5	24
1	10	14
2	8	7
6	14	12
1	19	29
3	13	8
4	24	13
3	1	2
2	29	3
5	11	31
0	8	0
2	26	14
4	4	4
5	16	20
5	15	2
4	2	7
3	11	7
5	30	27
3	0	3
3	14	3
4	2	4
0	16	6
3	30	26
1	29	19
0	11	8
2	22	17
4	3	28
5	18	7
6	29	8
6	10	2
1	4	27
0	17	8
0	2	2
6	3	0
1	7	20
4	15	26
2	24	1
4	23	6
0	17	22
3	8	31
4	0	19
1	5	29
4	27	27
0	26	2
0	19	10
0	26	21
6	20	13
2	4	30
2	5	18
5	12	6
1	11	27
3	9	1
5	4	18
3	10	29
6	30	7
3	4	3
5	8	2
5	16	26
4	14	5
1	11	2
6	13	14
2	6	20
5	19	5
4	28	22
2	3	16
4	16	31
1	30	25
2	27	27
5	6	27
2	12	6
1	25	31
1	28	28
6	16	4
2	26	21
3	25	9
6	1	26
0	26	24
1	6	11
3	4	21
3	0	22
5	17	11
1	0	27
5	8	3
3	19	16
0	17	19
2	16	17
1	26	29
5	29	13
2	30	27
4	15	14
1	17	25
6	2	28
0	0	1
4	22	18
5	25	6
2	23	2
5	30	16
5	2	16
4	12	7
4	20	21
4	26	0
0	18	21
1	9	8
2	6	9
3	29	19
3	18	17
6	19	22
3	1	17
6	26	25
1	9	18
3	18	6
4	23	20
5	9	23
3	17	8
4	24	16
1	16	1
1	22	16
4	18	22
4	17	10
2	9	31
2	10	13
1	10	10
5	22	3
2	25	21
5	6	8
6	16	22
3	20	7
6	28	16
0	17	1
1	22	9
1	17	0
0	4	22
1	10	18
0	20	16
5	26	12
3	10	14
3	25	28
1	25	2
6	6	25
1	22	8
5	9	31
2	11	15
1	16	11
4	10	20
3	9	8
0	4	4
3	8	3
0	15	13
2	6	17
4	18	1
2	20	30
1	23	11
2	7	1
4	14	9
5	2	1
0	13	16
5	25	14
4	26	24
0	15	11
4	2	3
1	6	15
6	7	27
3	30	4
6	11	12
6	5	25
6	12	0
0	0	25
5	30	20
1	9	1
1	29	9
2	1	25
3	27	15
4	15	0
2	11	0
5	5	5
0	17	11
4	19	10
6	17	21
3	30	22
3	22	17
6	16	3
5	26	16
5	8	24
5	3	8
0	26	16
4	1	19
4	12	8
1	29	16
4	14	13
6	0	28
6	22	4
2	24	2
4	1	4
5	6	19
3	24	22
4	15	4
2	1	14
2	21	30
5	3	5
4	3	13
4	17	5
1	17	7
6	13	6
2	14	9
4	0	27
2	13	9
6	14	5
2	30	20
2	11	25
5	1	13
1	12	9
5	4	10
0	17	16
3	23	18
6	3	20
2	13	3
5	4	29
3	12	23
1	25	16
6	19	8
0	19	2
0	13	6
0	30	9
1	24	25
3	11	13
0	11	3
3	21	14
0	7	4
2	5	28
5	4	25
1	27	7
1	18	9
1	8	23
5	26	17
1	3	3
3	6	30
1	19	5
0	4	1
2	9	0
2	3	31
2	8	21
1	13	11
2	27	26
5	16	27
1	24	28
2	17	9
3	25	2
4	2	28
1	24	21
5	24	7
1	1	27
6	20	10
1	18	23
0	18	15
1	11	23
4	9	0
0	15	28
5	12	20
5	1	20
2	10	16
1	11	13
2	6	30
6	14	2
5	20	30
5	28	28
4	30	21
2	25	7
1	27	3
3	26	2
4	13	14
1	20	11
0	5	3
2	1	0
1	27	22
5	30	30
2	24	23
0	21	14
3	16	1
1	2	0
3	5	31
5	28	29
6	6	4
3	6	19
0	8	31
3	27	14
6	13	7
0	4	29
1	27	0
2	12	28
3	5	20
2	29	0
4	10	2
2	3	12
5	27	5
6	5	19
0	24	22
6	15	19
4	11	30
0	29	28
5	23	15
0	0	8
1	9	30
3	12	2
4	5	4
1	30	4
1	24	24
6	9	3
2	27	13
6	22	18
6	17	27
3	14	18
1	28	24
5	15	6
2	29	17
3	10	4
2	12	3
0	25	25
5	24	22
0	14	15
3	23	4
0	4	7
3	7	21
6	8	8
6	15	30
6	20	6
0	4	15
2	24	22
5	29	23
5	15	9
5	24	14
3	4	17
4	11	4
3	2	8
5	17	0
3	2	23
0	7	30
2	0	26
5	13	26
2	28	19
3	28	28
5	6	29
0	1	10
6	7	28
1	12	16
1	21	2
3	13	7
3	11	24
1	9	22
2	26	0
2	16	13
0	23	13
2	29	29
4	23	7
1	3	25
0	17	5
4	28	2
5	27	29
3	27	22
6	19	25
0	22	18
4	26	10
0	15	17
4	30	17
0	2	27
4	18	15
6	13	31
1	27	25
4	5	15
0	0	29
2	7	12
0	12	6
1	10	25
4	5	22
2	25	15
6	27	25
4	1	23
6	18	26
5	20	15
6	18	12
0	0	30
6	12	12
2	1	28
4	0	31
4	13	6
6	9	4
4	22	25
1	26	16
4	20	17
1	20	10
5	13	29
1	18	20
6	25	9
5	17	22
3	17	18
2	28	25
6	29	26
2	27	30
6	23	7
5	16	9
6	30	14
3	5	27
0	18	7
3	0	28
2	6	2
4	14	6
5	16	15
6	19	18
5	5	23
2	18	26
2	19	7
2	17	1
0	3	29
0	18	10
4	2	14
1	1	2
2	29	14
4	25	30
5	23	19
6	30	4
0	4	25
6	26	7
4	6	24
0	12	21
3	24	3
0	14	19
3	17	4
6	0	17
0	29	31
5	4	17
6	3	17
6	27	24
5	13	30
5	13	8
5	26	6
6	29	11
5	21	22
5	29	24
0	13	30
5	27	1
1	8	1
3	16	22
1	19	22
4	15	7
5	5	30
2	10	9
1	21	27
6	3	10
3	7	10
1	6	28
6	9	18
4	30	20
6	0	16
2	28	29
4	19	18
2	24	20
5	24	1
0	20	23
0	0	4
1	14	24
4	2	18
5	28	14
2	19	28
0	27	26
6	28	12
2	21	22
2	10	19
5	13	12
4	21	27
4	19	7
4	4	19
5	25	13
5	24	21
2	17	19
6	0	20
6	10	24
6	21	23
2	27	9
4	18	9
2	17	20
2	0	23
5	25	17
6	1	19
1	6	8
2	17	2
3	4	10
2	29	7
2	23	17
5	19	27
6	15	1
5	19	23
2	4	29
5	22	24
5	18	11
4	24	30
1	15	5
3	10	0
2	4	0
6	21	2
3	11	14
6	20	17
2	23	24
2	11	11
5	10	25
3	30	5
6	23	4
1	12	30
4	16	3
3	26	22
1	15	1
0	6	16
6	7	9
4	20	20
4	22	12
0	17	23
3	7	17
5	0	7
4	21	8
3	29	27
0	29	25
0	29	17
2	6	13
0	28	28
1	18	2
0	25	18
0	18	0
2	23	10
6	7	17
2	11	7
2	18	1
1	14	21
4	24	31
1	5	23
4	3	10
1	26	5
2	11	19
2	2	31
0	20	8
1	21	17
0	5	13
0	13	12
6	27	13
5	26	19
2	7	19
4	11	15
4	9	14
6	16	14
4	26	29
6	10	13
0	11	21
2	26	3
6	6	10
1	0	25
0	7	26
2	14	8
0	29	14
2	23	9
3	4	24
1	11	10
6	10	0
6	24	23
1	10	11
3	12	16
3	12	27
4	20	10
2	17	12
1	11	3
2	10	27
5	11	21
6	26	4
1	19	9
4	10	9
6	7	24
3	29	13
1	5	5
4	9	31
4	25	29
4	9	4
1	29	5
2	16	27
1	16	14
4	27	17
0	2	10
3	7	18
5	30	2
1	18	30
5	19	2
3	15	27
2	28	30
3	21	31
1	29	27
2	16	9
2	24	12
5	7	21
6	1	16
3	8	2
2	27	12
0	30	6
5	15	10
6	3	25
1	6	3
6	3	2
2	12	21
2	25	8
1	14	17
4	11	8
0	2	16
6	26	15
1	20	28
5	23	30
5	27	25
2	25	18
